name,type,namespace,identifier_type,identifier,sampling_interval,queue_size,discard_oldest,trigger,deadband_type,deadband_value
PyrometerIR_Dryer,float64,coater,s,IR_Dryer_PyrometerTemp,,,,,,
D1BFanControl,float64,coater,s,Dryer1_Bottom_Fan_SP,,,,,,
D1TFanControl,float64,coater,s,Dryer1_Top_Fan_SP,,,,,,
D2BFanControl,float64,coater,s,Dryer2_Bottom_Fan_SP,,,,,,
D2TFanControl,float64,coater,s,Dryer2_Top_Fan_SP,,,,,,
D1BActRot,float64,coater,s,Dryer1_Bottom_ActRPM,,,,,,
D1TActRot,float64,coater,s,Dryer1_Top_ActRPM,,,,,,
D2BBActRot,float64,coater,s,Dryer2_Bottom_ActRPM,,,,,,
D2TActRot,float64,coater,s,Dryer2_Top_ActRPM,,,,,,
Dryer1_TempBottom,float64,coater,s,Dryer1_Bottom_ActTemperature,,,,,,
Dryer1_TempTop,float64,coater,s,Dryer1_Top_ActTemperature,,,,,,
Dryer2_TempBottom,float64,coater,s,Dryer2_Bottom_ActTemperature,,,,,,
Dryer2_TempTop,float64,coater,s,Dryer2_Top_ActTemperature,,,,,,
RewDiameterSensor,float64,coater,s,Rewinder_ActDiam,,,,,,
UnwDiameterSensor,float64,coater,s,Unwinder_ActDiam,,,,,,
UnwWebTension,float64,coater,s,Unwinder_ActTensionN,,,,,,
